Feature,Importance
DepTimeBlk_0700-0759,0.0023445003
OriginStateName_Wyoming,0.002339817
ArrTimeBlk_1200-1259,0.002330296
ArrTimeBlk_2100-2159,0.0023081764
IsWeekend,0.0023071636
DestStateName_Vermont,0.002306706
OriginStateName_U.S. Virgin Islands,0.0023059587
ArrTimeBlk_1800-1859,0.0023040713
ArrTimeBlk_1100-1159,0.0023021498
DestStateName_South Carolina,0.0022797051
ArrTimeBlk_1700-1759,0.002279623
DestStateName_Kansas,0.0022786716
ArrTimeBlk_1900-1959,0.002277707
DestStateName_North Dakota,0.0022704802
DepTimeBlk_0900-0959,0.0022643795
ArrTimeBlk_1400-1459,0.0022639995
DepTimeBlk_1400-1459,0.002244336
DepTimeBlk_1100-1159,0.00222645
DepTimeBlk_1700-1759,0.0022200143
ArrTimeBlk_1600-1659,0.0022000812
ArrTimeBlk_1300-1359,0.0021775463
Operating_Airline _G4,0.002163466
DepTimeBlk_1500-1559,0.002147965
ArrTimeBlk_2200-2259,0.0021411902
ArrTimeBlk_2300-2359,0.0021190797
DestStateName_Rhode Island,0.0020491334
DestStateName_Maine,0.0020422922
OriginStateName_Kansas,0.002031424
OriginStateName_Maine,0.0020303589
Operating_Airline _UA,0.002009591
DestStateName_Wyoming,0.0019995512
OriginStateName_Vermont,0.0019696224
Operating_Airline _HA,0.0018818951
DestStateName_U.S. Pacific Trust Territories and Possessions,0.0
